Champion,Talent,Card,Card Level,Winrate,Match Count,Confidence Interval -,Confidence Interval +
Androxus,Cursed Revolver,Watchful,5,50%,"25,314",49%,51%
Androxus,Cursed Revolver,Through the Warp,5,49%,"2,533",46%,51%
Androxus,Cursed Revolver,Elusive,5,49%,"1,237",46%,53%
Androxus,Cursed Revolver,Sleight of Hand,5,55%,159,45%,65%
Androxus,Cursed Revolver,Power of the Abyss,5,48%,"3,672",45%,50%
Androxus,Cursed Revolver,Abyssal Touch,5,48%,"1,550",45%,51%
Androxus,Cursed Revolver,Abyss Walker,5,47%,"2,725",45%,50%
Androxus,Cursed Revolver,Quick Draw,5,47%,"1,697",44%,50%
Androxus,Cursed Revolver,Equivalent Exchange,5,51%,236,43%,59%
Androxus,Cursed Revolver,Seething Hatred,5,48%,756,43%,53%
Androxus,Cursed Revolver,Disrupt,5,48%,568,43%,53%
Androxus,Cursed Revolver,Featherweight,5,48%,215,39%,57%
Androxus,Cursed Revolver,Spiteful,5,50%,67,35%,65%
Androxus,Cursed Revolver,Vengeance,5,40%,60,24%,55%
Androxus,Cursed Revolver,Marksman,5,44%,25,21%,66%
Androxus,Cursed Revolver,Buying Time,5,22%,18,0%,45%
Androxus,Cursed Revolver,Watchful,4,51%,"11,916",50%,52%
Androxus,Cursed Revolver,Elusive,4,50%,"7,235",49%,52%
Androxus,Cursed Revolver,Abyss Walker,4,50%,"5,679",48%,52%
Androxus,Cursed Revolver,Power of the Abyss,4,49%,"23,674",48%,50%
Androxus,Cursed Revolver,Through the Warp,4,49%,"16,836",48%,50%
Androxus,Cursed Revolver,Abyssal Touch,4,50%,"1,115",47%,54%
Androxus,Cursed Revolver,Seething Hatred,4,48%,"2,004",45%,51%
Androxus,Cursed Revolver,Quick Draw,4,48%,"1,929",45%,51%
Androxus,Cursed Revolver,Marksman,4,49%,208,40%,58%
Androxus,Cursed Revolver,Featherweight,4,42%,"2,744",40%,45%
Androxus,Cursed Revolver,Sleight of Hand,4,45%,557,39%,50%
Androxus,Cursed Revolver,Equivalent Exchange,4,42%,407,36%,48%
Androxus,Cursed Revolver,Vengeance,4,41%,318,34%,48%
