Class,Champion,Map,Winrate,Match Count,Confidence Interval -,Confidence Interval +
Damage,Bomb King,Jaguar Falls,50%,833,45%,54%
Damage,Bomb King,Warder's Gate,50%,625,44%,55%
Damage,Bomb King,Brightmarsh,49%,839,44%,53%
Damage,Bomb King,Serpent Beach,49%,524,43%,54%
Damage,Bomb King,Stone Keep,48%,820,43%,52%
Damage,Bomb King,Bazaar,48%,586,42%,53%
Damage,Bomb King,Frozen Guard,47%,634,41%,52%
Damage,Bomb King,Ascension Peak,47%,617,41%,52%
Damage,Bomb King,Shattered Desert,47%,584,41%,52%
Damage,Bomb King,Splitstone Quarry,45%,481,39%,50%
Damage,Bomb King,Fish Market,44%,408,37%,50%
Damage,Bomb King,Timber Mill,40%,355,33%,46%
Damage,Cassie,Fish Market,48%,"1,354",44%,51%
Damage,Cassie,Stone Keep,48%,"1,146",44%,51%
Damage,Cassie,Serpent Beach,48%,"1,134",44%,51%
Damage,Cassie,Jaguar Falls,47%,"1,219",43%,50%
Damage,Cassie,Timber Mill,47%,"1,101",43%,50%
Damage,Cassie,Warder's Gate,46%,"1,323",42%,49%
Damage,Cassie,Frozen Guard,46%,"1,286",42%,49%
Damage,Cassie,Ascension Peak,46%,"1,254",42%,49%
Damage,Cassie,Shattered Desert,45%,"1,292",41%,48%
Damage,Cassie,Bazaar,44%,"1,226",40%,47%
Damage,Cassie,Brightmarsh,44%,"1,190",40%,47%
Damage,Cassie,Splitstone Quarry,44%,"1,046",40%,47%
Damage,Dredge,Jaguar Falls,55%,"1,009",50%,59%
Damage,Dredge,Splitstone Quarry,55%,973,50%,59%
Damage,Dredge,Stone Keep,51%,896,46%,55%
Damage,Dredge,Warder's Gate,51%,893,46%,55%
Damage,Dredge,Brightmarsh,49%,981,44%,53%
Damage,Dredge,Bazaar,49%,886,44%,53%
Damage,Dredge,Frozen Guard,49%,783,44%,53%
Damage,Dredge,Shattered Desert,49%,778,44%,53%
Damage,Dredge,Fish Market,49%,654,43%,54%
Damage,Dredge,Timber Mill,47%,815,42%,51%
Damage,Dredge,Ascension Peak,46%,827,41%,50%
Damage,Dredge,Serpent Beach,45%,749,40%,49%
Damage,Drogoz,Brightmarsh,52%,"1,097",48%,55%
Damage,Drogoz,Stone Keep,52%,882,47%,56%
Damage,Drogoz,Bazaar,52%,646,46%,57%
Damage,Drogoz,Serpent Beach,51%,920,46%,55%
Damage,Drogoz,Jaguar Falls,50%,"1,050",46%,53%
Damage,Drogoz,Splitstone Quarry,50%,787,45%,54%
Damage,Drogoz,Ascension Peak,49%,658,44%,53%
Damage,Drogoz,Timber Mill,48%,585,42%,53%
Damage,Drogoz,Fish Market,47%,600,41%,52%
Damage,Drogoz,Warder's Gate,45%,700,40%,49%
Damage,Drogoz,Shattered Desert,45%,588,39%,50%
Damage,Drogoz,Frozen Guard,45%,485,39%,50%
Damage,Imani,Timber Mill,55%,980,50%,59%
Damage,Imani,Brightmarsh,51%,836,46%,55%
Damage,Imani,Shattered Desert,50%,877,45%,54%
Damage,Imani,Warder's Gate,50%,846,45%,54%
Damage,Imani,Serpent Beach,49%,"1,019",44%,53%
Damage,Imani,Splitstone Quarry,49%,981,44%,53%
Damage,Imani,Fish Market,49%,922,44%,53%
Damage,Imani,Stone Keep,48%,887,43%,52%
Damage,Imani,Frozen Guard,48%,820,43%,52%
Damage,Imani,Jaguar Falls,48%,752,43%,52%
Damage,Imani,Ascension Peak,47%,894,42%,51%
Damage,Imani,Bazaar,46%,813,41%,50%
Damage,Kinessa,Timber Mill,50%,717,45%,54%
Damage,Kinessa,Fish Market,46%,701,41%,50%
Damage,Kinessa,Bazaar,46%,437,39%,52%
Damage,Kinessa,Stone Keep,44%,568,38%,49%
Damage,Kinessa,Frozen Guard,44%,419,37%,50%
Damage,Kinessa,Splitstone Quarry,42%,731,37%,46%
Damage,Kinessa,Serpent Beach,40%,565,34%,45%
Damage,Kinessa,Shattered Desert,40%,409,33%,46%
Damage,Kinessa,Ascension Peak,39%,597,33%,44%
Damage,Kinessa,Warder's Gate,39%,446,33%,44%
Damage,Kinessa,Jaguar Falls,37%,206,28%,45%
Damage,Kinessa,Brightmarsh,36%,225,27%,44%
Damage,Lian,Fish Market,51%,"1,897",48%,53%
Damage,Lian,Shattered Desert,50%,"1,751",46%,53%
Damage,Lian,Ascension Peak,50%,"1,693",46%,53%
Damage,Lian,Frozen Guard,49%,"1,713",45%,52%
Damage,Lian,Timber Mill,49%,"1,688",45%,52%
Damage,Lian,Bazaar,48%,"1,658",44%,51%
Damage,Lian,Serpent Beach,48%,"1,627",44%,51%
Damage,Lian,Warder's Gate,48%,"1,623",44%,51%
Damage,Lian,Stone Keep,47%,"1,754",43%,50%
Damage,Lian,Splitstone Quarry,47%,"1,624",43%,50%
Damage,Lian,Jaguar Falls,45%,"1,571",41%,48%
Damage,Lian,Brightmarsh,45%,"1,403",41%,48%
Damage,Octavia,Warder's Gate,51%,176,41%,60%
Damage,Octavia,Stone Keep,44%,193,34%,53%
Damage,Octavia,Ascension Peak,44%,169,34%,53%
Damage,Octavia,Frozen Guard,41%,166,31%,50%
Damage,Octavia,Timber Mill,40%,214,31%,48%
Damage,Octavia,Splitstone Quarry,40%,181,30%,49%
Damage,Octavia,Jaguar Falls,39%,170,29%,48%
Damage,Octavia,Bazaar,39%,164,29%,48%
Damage,Octavia,Serpent Beach,37%,189,28%,45%
Damage,Octavia,Shattered Desert,36%,165,26%,45%
Damage,Octavia,Fish Market,35%,190,26%,43%
Damage,Octavia,Brightmarsh,35%,162,25%,44%
Damage,Sha Lin,Serpent Beach,52%,496,46%,57%
Damage,Sha Lin,Frozen Guard,50%,600,44%,55%
Damage,Sha Lin,Bazaar,49%,559,43%,54%
Damage,Sha Lin,Warder's Gate,49%,518,43%,54%
Damage,Sha Lin,Fish Market,48%,568,42%,53%
Damage,Sha Lin,Ascension Peak,47%,486,41%,52%
Damage,Sha Lin,Timber Mill,47%,480,41%,52%
Damage,Sha Lin,Shattered Desert,46%,634,40%,51%
Damage,Sha Lin,Stone Keep,45%,519,39%,50%
Damage,Sha Lin,Jaguar Falls,44%,525,38%,49%
